ScheduleName PlannedSchedule.dat
ScheduleStartTime 2025/06/21-00:00:00.000
ScheduleStopTime 2025/06/23-23:59:32.000
TaskList 1897
TFRM-000124                      follow-up       4 2025/06/21-01:01:30.000 2025/06/21-01:02:00.000 TFRM TFRM     I21087A    ALL          25   0.0        0.000000       17.246929
TFRM-000125                      follow-up       4 2025/06/21-01:02:00.000 2025/06/21-01:02:30.000 TFRM TFRM     I99005D    ALL          25   0.0        0.000000       17.417885
TFRM-000126                      follow-up       4 2025/06/21-01:02:30.000 2025/06/21-01:03:00.000 TFRM TFRM     I85117A    ALL          25   0.0        0.000000       16.667210
TFRM-000127                      follow-up       4 2025/06/21-01:03:00.000 2025/06/21-01:03:30.000 TFRM TFRM     I00017C    ALL          25   0.0        0.000000       16.470360
TFRM-000128                      follow-up       4 2025/06/21-01:03:30.000 2025/06/21-01:04:00.000 TFRM TFRM     I76073B    ALL          25   0.0        0.000000       17.070707
TFRM-000129                      follow-up       4 2025/06/21-01:04:00.000 2025/06/21-01:04:30.000 TFRM TFRM     I00017C    ALL          25   0.0        0.000000       16.557025
TFRM-000130                      follow-up       4 2025/06/21-01:04:30.000 2025/06/21-01:05:00.000 TFRM TFRM     I00017C    ALL          25   0.0        0.000000       16.599673
TFRM-000131                      follow-up       4 2025/06/21-01:05:00.000 2025/06/21-01:05:30.000 TFRM TFRM     I85117A    ALL          25   0.0        0.000000       16.736585
TFRM-000132                      follow-up       4 2025/06/21-01:05:30.000 2025/06/21-01:06:00.000 TFRM TFRM     I00017C    ALL          25   0.0        0.000000       16.683601
TFRM-000133                      follow-up       4 2025/06/21-01:06:00.000 2025/06/21-01:06:30.000 TFRM TFRM     I76073B    ALL          25   0.0        0.000000       17.041234
TFRM-000134                      follow-up       4 2025/06/21-01:06:30.000 2025/06/21-01:07:00.000 TFRM TFRM     I76073B    ALL          25   0.0        0.000000       17.035251
TFRM-000135                      follow-up       4 2025/06/21-01:07:00.000 2025/06/21-01:07:30.000 TFRM TFRM     I76073B    ALL          25   0.0        0.000000       17.029239
TFRM-000136                      follow-up       4 2025/06/21-01:07:30.000 2025/06/21-01:08:00.000 TFRM TFRM     I85117A    ALL          25   0.0        0.000000       16.803633
TFRM-000137                      follow-up       4 2025/06/21-01:08:00.000 2025/06/21-01:08:30.000 TFRM TFRM     I00017C    ALL          25   0.0        0.000000       16.885566
TFRM-000138                      follow-up       4 2025/06/21-01:08:30.000 2025/06/21-01:09:00.000 TFRM TFRM     I00017C    ALL          25   0.0        0.000000       16.924638
TFRM-000139                      follow-up       4 2025/06/21-01:09:00.000 2025/06/21-01:09:30.000 TFRM TFRM     I00017C    ALL          25   0.0        0.000000       16.963279
TFRM-000140                      follow-up       4 2025/06/21-01:09:30.000 2025/06/21-01:10:00.000 TFRM TFRM     I00017C    ALL          25   0.0        0.000000       17.001495
TFRM-000141                      follow-up       4 2025/06/21-01:10:00.000 2025/06/21-01:10:30.000 TFRM TFRM     I99005D    ALL          25   0.0        0.000000       17.384407
TFRM-000142                      follow-up       4 2025/06/21-01:10:30.000 2025/06/21-01:11:00.000 TFRM TFRM     I00017C    ALL          25   0.0        0.000000       17.076664
TFRM-000143                      follow-up       4 2025/06/21-01:11:00.000 2025/06/21-01:11:30.000 TFRM TFRM     I99053D    ALL          25   0.0        0.000000       16.632958
TFRM-000144                      follow-up       4 2025/06/21-01:11:30.000 2025/06/21-01:12:00.000 TFRM TFRM     I99005D    ALL          25   0.0        0.000000       17.378776
TFRM-000145                      follow-up       4 2025/06/21-01:12:00.000 2025/06/21-01:12:30.000 TFRM TFRM     I99053D    ALL          25   0.0        0.000000       16.653443
TFRM-000146                      follow-up       4 2025/06/21-01:12:30.000 2025/06/21-01:13:00.000 TFRM TFRM     I76073B    ALL          25   0.0        0.000000       16.961122
TFRM-000147                      follow-up       4 2025/06/21-01:13:00.000 2025/06/21-01:13:30.000 TFRM TFRM     I21113A    ALL          25   0.0        0.000000       16.940787
TFRM-000148                      follow-up       4 2025/06/21-01:13:30.000 2025/06/21-01:14:00.000 TFRM TFRM     I99005D    ALL          25   0.0        0.000000       17.371661
TFRM-000149                      follow-up       4 2025/06/21-01:14:00.000 2025/06/21-01:14:30.000 TFRM TFRM     I99053D    ALL          25   0.0        0.000000       16.694242
TFRM-000150                      follow-up       4 2025/06/21-01:14:30.000 2025/06/21-01:15:00.000 TFRM TFRM     I99005D    ALL          25   0.0        0.000000       17.368288
TFRM-000151                      follow-up       4 2025/06/21-01:15:00.000 2025/06/21-01:15:30.000 TFRM TFRM     I99005D    ALL          25   0.0        0.000000       17.366651
TFRM-000152                      follow-up       4 2025/06/21-01:15:30.000 2025/06/21-01:16:00.000 TFRM TFRM     I99053D    ALL          25   0.0        0.000000       16.724677
TFRM-000153                      follow-up       4 2025/06/21-01:16:00.000 2025/06/21-01:16:30.000 TFRM TFRM     I99053D    ALL          25   0.0        0.000000       16.734788
TFRM-000154                      follow-up       4 2025/06/21-01:16:30.000 2025/06/21-01:17:00.000 TFRM TFRM     I85117A    ALL          25   0.0        0.000000       17.027512
TFRM-000155                      follow-up       4 2025/06/21-01:17:00.000 2025/06/21-01:17:30.000 TFRM TFRM     I99053D    ALL          25   0.0        0.000000       16.754957
TFRM-000156                      follow-up       4 2025/06/21-01:17:30.000 2025/06/21-01:18:00.000 TFRM TFRM     I02035C    ALL          25   0.0        0.000000       16.263204
TFRM-000157                      follow-up       4 2025/06/21-01:18:00.000 2025/06/21-01:18:30.000 TFRM TFRM     I99005D    ALL          25   0.0        0.000000       17.357574
TFRM-000158                      follow-up       4 2025/06/21-01:18:30.000 2025/06/21-01:19:00.000 TFRM TFRM     I99053D    ALL          25   0.0        0.000000       16.785072
TFRM-000159                      follow-up       4 2025/06/21-01:19:00.000 2025/06/21-01:19:30.000 TFRM TFRM     I76073B    ALL          25   0.0        0.000000       16.875939
TFRM-000160                      follow-up       4 2025/06/21-01:19:30.000 2025/06/21-01:20:00.000 TFRM TFRM     I76073B    ALL          25   0.0        0.000000       16.869181
TFRM-000161                      follow-up       4 2025/06/21-01:20:00.000 2025/06/21-01:20:30.000 TFRM TFRM     I76073B    ALL          25   0.0        0.000000       16.862393
TFRM-000162                      follow-up       4 2025/06/21-01:20:30.000 2025/06/21-01:21:00.000 TFRM TFRM     I02035C    ALL          25   0.0        0.000000       16.190551
TFRM-000163                      follow-up       4 2025/06/21-01:21:00.000 2025/06/21-01:21:30.000 TFRM TFRM     I99005D    ALL          25   0.0        0.000000       17.349941
TFRM-000164                      follow-up       4 2025/06/21-01:21:30.000 2025/06/21-01:22:00.000 TFRM TFRM     I76073B    ALL          25   0.0        0.000000       16.841862
TFRM-000165                      follow-up       4 2025/06/21-01:22:00.000 2025/06/21-01:22:30.000 TFRM TFRM     I99053D    ALL          25   0.0        0.000000       16.854646
TFRM-000166                      follow-up       4 2025/06/21-01:22:30.000 2025/06/21-01:23:00.000 TFRM TFRM     I76073B    ALL          25   0.0        0.000000       16.828037
TFRM-000167                      follow-up       4 2025/06/21-01:23:00.000 2025/06/21-01:23:30.000 TFRM TFRM     I99053D    ALL          25   0.0        0.000000       16.874336
TFRM-000168                      follow-up       4 2025/06/21-01:23:30.000 2025/06/21-01:24:00.000 TFRM TFRM     I02035C    ALL          25   0.0        0.000000       16.115840
TFRM-000169                      follow-up       4 2025/06/21-01:24:00.000 2025/06/21-01:24:30.000 TFRM TFRM     I99053D    ALL          25   0.0        0.000000       16.893938
TFRM-000170                      follow-up       4 2025/06/21-01:24:30.000 2025/06/21-01:25:00.000 TFRM TFRM     I02035C    ALL          25   0.0        0.000000       16.090531
TFRM-000171                      follow-up       4 2025/06/21-01:25:00.000 2025/06/21-01:25:30.000 TFRM TFRM     I76073B    ALL          25   0.0        0.000000       16.793012
TFRM-000172                      follow-up       4 2025/06/21-01:25:30.000 2025/06/21-01:26:00.000 TFRM TFRM     I24059B    ALL          25   0.0        0.000000       15.288210
TFRM-000173                      follow-up       4 2025/06/21-01:26:00.000 2025/06/21-01:26:30.000 TFRM TFRM     I24059B    ALL          25   0.0        0.000000       15.329811
